Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual elapsed time (Minutes)
"AA","01/06/2020","0252","N992NN","LAX","08:32","390"
"AA","01/06/2020","0278","N954AN","DFW","14:33","216"
"AA","01/06/2020","1339","N997NN","LAX","17:48","359"
"AA","01/06/2020","1474","N928NN","CLT","05:00","84"
"AA","01/06/2020","2617","N882NN","DFW","07:00","219"
"AA","01/06/2020","2784","N922NN","DFW","18:56","210"
